reviews,rating
εξαιρετικο κινητο λαμβανω τιμη παρω δευτερη συσκευη ζηλεψω κινητα ακριβοτερα μπαταρια εξαιρετικος οθονη γρηγορος αργο vfm ευρω παρω,5
διαδεχτηκε alcatel s ε προηγουμενο σε μεινω εξαιρετικα ικανοποιημενη +++ ταχυτερος μεγαλη διαρκειο μπαταρια καλος αναλυση εικονα βιντεο επιλογη φιλτρο ανθεκτικο ποιοτικα ανωτερο τον προκατοχο ποιοτητο διαχειριση κλησεο ειδοποιησει ικανοποιημενη ηχειο μικροφωνο φυσικα τιμη λειπω φωτεινος ενδειξη ειδοποιησεο οθονη σε κατασταση φορτιση παραδειγμα η ληφθεντος μηνυματο αξιζω παραπανω σεντ τρομερος απαιτησει smartphone τηλεφωνημαα κοινωνικος δικτυωση το χρησιμοποιω ενημερωνομαι σχετικα εξελιξει διαβαζω κειμενο βιβλιο κατασκευη αντοχη πτωσει μπραβο alcatel,5
κινητο κατοχη μερα προερχομενος κινητο sony experia σαφως ανωτερος κ συναπτα χρονια προβλημαα μπορω λεω alcatel s αξιζω χρηματα κ παραπανω μπορω εντοπισω κτ αρνητικος ελεγα ενταση ηχο διαρκειο συνομιλια χαμηλος καθαρος υπολοιπος λειτουργω ικανοποιητικα παρατηρησω κπ δυσλειτουργια επανελθω,5
κινητο αγορασα € τεταρτο alcatel συνεχομενα αγοραζω μακραν καλυτερος μπαταρια φοβερη εχω ωρε συνολικος χρηση πρωι φωτογραφια καλος ειδικα λειτουργια μακρο κοντινος φωτο λεφα θερμοκρασια ανεβαζω ηχο καλος οθονη πολυ καλος μεγαλη αρνητικο πλαστικο ποιοτικος πλαστικο νομιζω λεφτα απολυτος vfm μπραβο alcatel,5
εξεπληξε ευχαριστα οικονομικο κινητο καλο δευτερη συσκευη οθονη καλος κουραζω κατασκευη tcl γνωστος εταιρεια κατασκευαζω γενικα ποιοτικα προϊονα ευκολος γρηγορο κινητο αγοραστε θηκη,5
κινητο καλυτερος προτεινω ανεπιφυλακτο ανταγωνιζομαι ανετα κινητο ευρω θετικα μπαταρια νιωθω κυριολεκτικα αξιζω θελω δωσω λεφτα θελω τηλεφωνω βαριος χρησει παρτε καλο,5
κινητο € παρω αψογος disin ολος καθαρος αναλυση κολλαω μπαταρια τερας απλα κακκο βιντεο φωτογραφια καλο disin χαλαω εννοειται προτεινω παρω χωρις σκεψη vfm,5
κινητο μηνας αψογος φυσικα χρηματα κανω συγκριση κινητο κοστιζω κ απαλλαγη φπο αγορασα κινητο τελειος φυσικα χρηματα,5
οπως περσυ ετσι φε tcl εκανε θαυμο δινω ευκαιρει καθενας αποκτησω ενα κινητο υψηλος επιδοσεα χωρις χρειαστω δωσω ενα σκασμος ευρω κινητο ειναι αριστος android τριπλη καμερας super macro ολοζωντανη οθωνη εκπληκτικος χρωμο ενα τζαμι ψιλο φιμε ηλιο πραγματικα ειναι ενα κινητο χαρειτε πανω ολο κλαιτε χρηματο μπαταριας κραταω ανετα δυο μερα φουλ χρηση hd voice volte vowifi κλησει πολυ δυνατος ηχειο ζωντανη οθονη ωραιος χρωματο παρα πολυ γρηγορος helio p οσο φωτογραφικη ευρω κανω αυτο πρεπει παραπανω εχω super macro εχω κινηα ευρω,5
φανταστικο κινητο προτεινω ανεπιφυλακτα,5
παθω πλακα περιμενα φθηνο κινητο καλο,5
ΚΙΝΗΤΑΡΑΑΑΑΑΑ ευρω κ λιγος λεω,5
σημερινος αγορα εντυπωσει θετικοτατες γρηγορο ευκολος σεταρισμα vfm κινητο,5
πηρο κορη € περιμενας καλο καλος φωτογραφια κολλαω χαρακτηριστικα νομιζω υπαρχω ανταγωνισμο χρηματα,5
αγοραστηκε συζυγο ευρω black friday παραξιζει λεφα edit μετα απο εβδομαδα προσθετω ενα αστερι επεξηγω Μετρια κακη ποιοτηα οθονη απολυτως λογικο αναμενομενος απο κει περα καλη ανταποκριση multitasking χωρις crashαρισματα αναμενομενος βαθμο Απροβληματιστο entry level χαμηλος τιμη σημειωση συζηγος εχω παραπονο οντας προηγουμ΄νο mid-range κινηα xiaomi redmi note x huawei p lite,5
απο ποιο τιμιος κινηα υπαρχω πηραμε ευρω αυτη τιμη βρισκω αλλο κινητο αυτος χαρακτηριστικα μονο λιγος μαρτυρω οτι ειναι φθηνος κινητο ειναι οτι ειναι ελαφρυ λιγος ψευτικη πισω μερια πλαστικο ολος αλλα ομως ενδιαφερω ενα κινητο ειναι πραγματικα αψογος μπαταριας καμερε γρηγορος ολος πολυ γρηγορος δακτυλικο αποτυπωμα αυα λεφτα ειναι οτι καλυτερο μπορω παρω εχω προβληματας δυο χρονι εγγυηση,5
λεω περιμενα περιμενας alcatel πλακα κανω πλακα ακριβοτερος καταρχην μπαταρια πεφτω μερα ωρω spotify g κ δεδομενα ανοιχτα ωρες εικονας μπαμ δακτυλικο αποτυπωμα τζιζ σερφαρω κ κολλησω μηνα,5
αριστος κινητο σχεση χρηματα δινω μπαταρια καμερα επεξεργαστης προσδοκιε αρνητικο μενα ηχειο,4
καλος συσκευη προσφερω τιμη παραλληλα ακριβοτερο τηλεφωνο ευρω βγαζω καλυτερες φωτογραφια νυχτα γρηγορος οθονη φωτεινος προβλημα εντονος φω αξιζω λεφτα παραπανω εχω λειτουργια καμερα ευρυγωνιο φακο μακρο πορτρετο καλο αποτελεσμα βλεπω ακριβοτερος μοντελο δακτυλικο αποτυπωμα σφαιρα μπαταρια ανετα μιαμισι μερα εντονη χρηση μηδεν κολληματα!!παρτε καλο φθηνος λυση απιστευτος αποτελεσμαα καμερα ραδιοφωνο,5
τηλεφωνο αποτελω ευχαριστη εκπληξη σχεση κοστος ειδικα καμερα καταπληκτικος παιρνω φωτογραφια περιμενω κατηγοριας τιμη Γρηγορο κολλησω καλος αισθηση ποιοτητο κατασκευη θελω φθηνο βγαζω καλος φωτογραφια νυχτα παρτε κλαψω λεφτα σχεση τηλεφωνο μεγαλος αξια καμερα ανωτερος διαφορα,5
χρηση ημερο πραγματικα ευχαριστη γρηγορος κινητο βολικο πραγματικα αξιζω sony ειλικρινα αλλαξα κινητο ευκολος μενου καλο android καλος μπαταρια καθαρος ηχος φορτιση σφαιρα φωτογραφια καλος τρελος απαιτησει σιγουρα αξιζω λεφτα,5
ταχυτατος κινητο κανω ληψη φωτογραφια mp μεγαλη ευαισθησια βραδυνος ληψει βλεπω ελληνικο review πλεονεκτημα προσπερνω απαρατηρητος αδικω λεφτα ειναι καλυτερος υπαρχω διαφορα συνιστω,5
αριστος τηλεφωνο χρηματα γρηγορο λειτουργικο δυνατο καθαρο ηχο καλος οθονη αποθηκευτικος χωρος μεγαλη μνημη μπαταρια εντυπωσιαζω εξαιρετικος φωτογραφια τραβω κυριος καμερα mp χαμηλο φωτισμο μπραβο alcatel χαμηλοτερος κοστος υλοποιησε συσκευη συγκριθω ακριβοτερες ανταγωνισμο συστηνω ανεπιφυλακτα,5
